Command: pytest test_tc_cb_codebase.py(121) + node check-*.mjs(20) + suite/ps1/cargo regression
ExitCode: 0
Timestamp: 20260615172019

# Codebase test execution combined log (20260615172019)
## pytest tests/test_tc_cb_codebase.py (121 tests, all passed)
TC-CB-001 PASSED
TC-CB-002 PASSED
TC-CB-003 PASSED
TC-CB-004 PASSED
TC-CB-005 PASSED
TC-CB-006 PASSED
TC-CB-007 PASSED
TC-CB-008 PASSED
TC-CB-009 PASSED
TC-CB-010 PASSED
TC-CB-011 PASSED
TC-CB-012 PASSED
TC-CB-013 PASSED
TC-CB-014 PASSED
TC-CB-015 PASSED
TC-CB-016 PASSED
TC-CB-017 PASSED
TC-CB-018 PASSED
TC-CB-019 PASSED
TC-CB-020 PASSED
TC-CB-021 PASSED
TC-CB-022 PASSED
TC-CB-023 PASSED
TC-CB-024 PASSED
TC-CB-025 PASSED
TC-CB-026 PASSED
TC-CB-027 PASSED
TC-CB-028 PASSED
TC-CB-029 PASSED
TC-CB-030 PASSED
TC-CB-031 PASSED
TC-CB-032 PASSED
TC-CB-033 PASSED
TC-CB-034 PASSED
TC-CB-035 PASSED
TC-CB-036 PASSED
TC-CB-037 PASSED
TC-CB-038 PASSED
TC-CB-039 PASSED
TC-CB-040 PASSED
TC-CB-041 PASSED
TC-CB-042 PASSED
TC-CB-043 PASSED
TC-CB-044 PASSED
TC-CB-045 PASSED
TC-CB-046 PASSED
TC-CB-047 PASSED
TC-CB-048 PASSED
TC-CB-049 PASSED
TC-CB-050 PASSED
TC-CB-051 PASSED
TC-CB-052 PASSED
TC-CB-053 PASSED
TC-CB-054 PASSED
TC-CB-055 PASSED
TC-CB-056 PASSED
TC-CB-057 PASSED
TC-CB-058 PASSED
TC-CB-059 PASSED
TC-CB-061 PASSED
TC-CB-062 PASSED
TC-CB-063 PASSED
TC-CB-064 PASSED
TC-CB-065 PASSED
TC-CB-066 PASSED
TC-CB-067 PASSED
TC-CB-068 PASSED
TC-CB-069 PASSED
TC-CB-070 PASSED
TC-CB-071 PASSED
TC-CB-072 PASSED
TC-CB-073 PASSED
TC-CB-074 PASSED
TC-CB-075 PASSED
TC-CB-076 PASSED
TC-CB-077 PASSED
TC-CB-078 PASSED
TC-CB-079 PASSED
TC-CB-080 PASSED
TC-CB-081 PASSED
TC-CB-082 PASSED
TC-CB-083 PASSED
TC-CB-084 PASSED
TC-CB-085 PASSED
TC-CB-086 PASSED
TC-CB-087 PASSED
TC-CB-088 PASSED
TC-CB-089 PASSED
TC-CB-090 PASSED
TC-CB-091 PASSED
TC-CB-092 PASSED
TC-CB-093 PASSED
TC-CB-094 PASSED
TC-CB-095 PASSED
TC-CB-096 PASSED
TC-CB-097 PASSED
TC-CB-098 PASSED
TC-CB-099 PASSED
TC-CB-100 PASSED
TC-CB-101 PASSED
TC-CB-102 PASSED
TC-CB-103 PASSED
TC-CB-104 PASSED
TC-CB-105 PASSED
TC-CB-125 PASSED
TC-CB-126 PASSED
TC-CB-127 PASSED
TC-CB-128 PASSED
TC-CB-129 PASSED
TC-CB-130 PASSED
TC-CB-131 PASSED
TC-CB-132 PASSED
TC-CB-133 PASSED
TC-CB-138 PASSED
TC-CB-139 PASSED
TC-CB-140 PASSED
TC-CB-141 PASSED
TC-CB-142 PASSED
TC-CB-143 PASSED
TC-CB-144 PASSED
TC-CB-145 PASSED
## node check-*.mjs whole-script results (all PASS)
TC-CB-060 PASS
TC-CB-106 PASS
TC-CB-107 PASS
TC-CB-108 PASS
TC-CB-109 PASS
TC-CB-110 PASS
TC-CB-111 PASS
TC-CB-112 PASS
TC-CB-113 PASS
TC-CB-114 PASS
TC-CB-115 PASS
TC-CB-116 PASS
TC-CB-117 PASS
TC-CB-118 PASS
TC-CB-119 PASS
TC-CB-121 PASS
TC-CB-122 PASS
TC-CB-123 PASS
TC-CB-120 PASS
TC-CB-124 PASS
## regression / suite-level / ps1 / rust
TC-CB-134 FAILED full pytest suite has 1 pre-existing stale-assertion failure (test_desktop_tauri_exposes_python_sidecar_bridge); not all-pass
TC-CB-135 PASS node check-all.mjs 6 checks passed
TC-CB-136 FAILED verify.ps1 exit 1 bare global python lacks pytest/PyMuPDF (environment)
TC-CB-137 mandatory -PdfPath argument unmet; no sample PDF fixture present => N/A (manual real-PDF scope)
TC-CB-151 question-wait DQ02; cargo attempted 22 vs 5 due to absent py launcher (environment) => N/A
